iter	Passed	Remaining
0	20	20233
1	43	21468
2	64	21464
3	102	25623
4	127	25296
5	143	23819
6	164	23347
7	186	23065
8	206	22764
9	226	22444
10	240	21653
11	260	21452
12	268	20362
13	289	20369
14	309	20308
15	326	20087
16	348	20135
17	368	20110
18	390	20139
19	410	20111
20	430	20090
21	439	19536
22	460	19560
23	480	19537
24	497	19401
25	518	19412
26	539	19448
27	557	19337
28	577	19323
29	597	19307
30	618	19330
31	638	19325
32	646	18945
33	666	18927
34	685	18903
35	706	18911
36	726	18910
37	748	18939
38	769	18958
39	791	19005
40	812	18996
41	832	18990
42	854	19025
43	873	18989
44	895	19010
45	916	19007
46	931	18881
47	952	18895
48	974	18905
49	994	18892
50	1016	18913
51	1038	18933
52	1050	18768
53	1072	18793
54	1087	18678
55	1109	18698
56	1131	18712
57	1152	18720
58	1174	18730
59	1195	18724
60	1215	18708
61	1237	18720
62	1251	18619
63	1272	18604
64	1282	18453
65	1303	18440
66	1324	18439
67	1339	18357
68	1360	18352
69	1380	18342
70	1402	18344
71	1422	18334
72	1442	18318
73	1454	18199
74	1475	18198
75	1496	18197
76	1517	18188
77	1538	18185
78	1559	18182
79	1580	18171
80	1605	18220
81	1624	18181
82	1644	18171
83	1653	18033
84	1675	18031
85	1695	18021
86	1712	17975
87	1729	17928
88	1751	17925
89	1772	17920
90	1801	17999
91	1819	17959
92	1840	17946
93	1861	17945
94	1883	17944
95	1904	17934
96	1920	17882
97	1942	17882
98	1963	17868
99	1981	17832
100	2002	17822
101	2022	17808
102	2044	17804
103	2053	17689
104	2074	17686
105	2097	17689
106	2107	17587
107	2126	17564
108	2147	17554
109	2167	17540
110	2182	17482
111	2202	17466
112	2225	17469
113	2247	17464
114	2263	17421
115	2284	17406
116	2304	17392
117	2325	17379
118	2345	17361
119	2355	17273
120	2376	17264
121	2398	17263
122	2418	17246
123	2440	17238
124	2461	17230
125	2482	17219
126	2494	17148
127	2514	17131
128	2535	17122
129	2545	17032
130	2565	17020
131	2586	17010
132	2595	16918
133	2615	16905
134	2636	16894
135	2657	16881
136	2678	16871
137	2692	16819
138	2703	16749
139	2725	16740
140	2744	16722
141	2753	16640
142	2764	16570
143	2785	16556
144	2805	16540
145	2824	16521
146	2845	16508
147	2867	16505
148	2888	16495
149	2909	16486
150	2931	16481
151	2954	16481
152	2976	16478
153	2999	16479
154	3027	16504
155	3046	16484
156	3067	16472
157	3088	16456
158	3096	16378
159	3113	16346
160	3122	16270
161	3142	16254
162	3163	16243
163	3184	16233
164	3190	16145
165	3210	16130
166	3231	16120
167	3252	16106
168	3273	16098
169	3294	16084
170	3316	16079
171	3337	16065
172	3356	16046
173	3377	16032
174	3399	16025
175	3420	16013
176	3440	15999
177	3461	15983
178	3482	15974
179	3503	15962
180	3525	15953
